"Code.Region";"Code_point_Libelle";"cluster";"lon";"lat";"Year";"Month";"Date";"ID.interne.passage";"Prelevement.niveau";"Profondeur.metre";"Code.parametre";"Methode_CHLOROA";"CHLOROA";"Shannon";"Simpson";"BergerParker";"Pielou";"Outlier";"Day";"SALI";"TEMP";"TURB";"NH4";"PO4";"SIOH";"OXYGENE";"NO3+NO2";"TURB-FNU";"Phylum.Classe";"Genus";"Taxon";"Valeur_mesure"
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Dinophyceae";"Alexandrium";"Alexandrium";2134
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Dinophyceae";"Amphidinium";"Amphidinium";100
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Bacillariophyceae";"Asterionella";"Asterionella formosa";2134
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Bacillariophyceae";"Asterionellopsis";"Asterionellopsis glacialis";26800
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Bacillariophyceae";"Bacillariophyceae";"Bacillariophyceae";2134
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Bacillariophyceae";"Biddulphia";"Biddulphia rhombus";1067
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Bacillariophyceae";"Cerataulina";"Cerataulina";16000
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Bacillariophyceae";"Chaetoceros";"Chaetoceros curvisetus + debilis + pseudocurvisetus";523500
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Bacillariophyceae";"Chaetoceros";"Chaetoceros danicus";500
11;"At so";2;"1.4745046439";"50.2312831163";2008;4;2008-04-23;"5277434";"Surface (0-1m)";0;"FLORTOT";"Spectrophotométrie monochromatique (Aminot et Chaussepied 1983 - Chlorophylle)";19,61;1,49269249814057;0,585804435010225;0,623021846189698;0,443291167009393;"OUI";23;31,8;10,2;1,95;NA;NA;NA;12,08;NA;NA;"Ciliophora";"Ciliophora";"Ciliophora";7469
